No.,name,Series,Model_Name,Model_Number,Color,Price(THB),Type,Suitable_For,Power_Supply,Processor_Brand,Processor_Name,Vaiant,Clock_Speed,Cache(MB),SSD_Capacity(GB),HDD_Capacity(GB),RAM(GB),RAM_Type,Expandable_Memory,Memory_Slots,RAM_Frequency(MHz),Graphic_Processor_Brand,Graphic_Processor,GPU_Score,Operating_System,Mic_In,USB_Port,HDMI_Port,Touchscreen,ScreenSize(inch),ScreenReolution,Screen_Type,Speakers,Internal_Mic,Wireless_LAN,Bluetooth,Weight(KG),Finger_Print_Sensor,Keyboard,Backlit_Keyboard,Ethernet,Web_Camera,Pointer_Device,Battery_Backup,RJ45,Refresh_Rate
205,acer,Aspire 3,A315-58,A315-58,Pure Silver,15514.12,Notebook,"Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business",45 W AC Adapter,Intel,Core i3,1115G4,4.1,6,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"2 x USB 3.2 port, 1 x USB port",1 x HDMI Port,No,15.6,1920x1080,"Full HD, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio",Built-in Dual Speakers,Built-in Dual Microphone,802.11a/b/g/n/ac wireless LAN,5,1.7,No,100-/101-/104-key FineTip keyboard with independent numeric keypad,No,"Gigabit Ethernet, Wake-on-LAN Ready",720p HD Webcam,Touchpad with Multi-touch Gesture Support,Upto 9 hours,Yes,N/A
206,acer,Aspire 3,A315-58,A315-58,Pure Silver,19493.12,Notebook,"Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business",45 W AC Adapter,Intel,Core i5,1135G7,4.2,8,0,1000,8,DDR4,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"2 x USB 3.2 port, 1 x USB port",1 x HDMI Port,No,15.6,1920x1080,"FHD, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio",Built-in Dual Speakers,Built-in Dual Microphone,802.11a/b/g/n/ac wireless LAN,5,1.7,No,100-/101-/104-key FineTip keyboard with independent numeric keypad,No,"Gigabit Ethernet, Wake-on-LAN Ready",720p HD Webcam,Touchpad with Multi-touch Gesture Support,Upto 9 hours,Yes,N/A
207,Lenovo,IdeaPad,IdeaPad 5 15ITL05,IdeaPad 5 15ITL05,Graphite Grey,25063.72,Thin and Light Laptop,Processing & Multitasking,65W,Intel,Core i5,1135G7,4.2,8,512,0,16,DDR4,N/A,N/A,3200,Intel,Iris Xe,3,Windows 11 Home,Yes,"1x USB 3.2 Gen 1, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1",1x HDMI 1.4b,No,15.6,1920x1080,"FHD, IPS (300 nits Anti-glare, 45% NTSC)",Built in dual stereo speakers,Dual array microphone,"Wi-Fi 6 11ax, 2x2",5.1,1.66,Yes,"Backlit, English",Yes,No,720p,Touchpad,Upto 11 hours,N/A,N/A
208,Lenovo,IdeaPad,15ITL05,15ITL05,Platinum Grey,16309.92,Thin and Light Laptop,Processing & Multitasking,65W Round Tip,Intel,Core i3,1115G4,4.1,6,512,0,8,DDR4,12,2,2666,Intel,UHD,2,Windows 11 Home,Yes,"1x USB 2.0, 2x USB 3.2 Gen 1",1x HDMI 1.4,No,15.6,1920x1080,"FHD, IPS 250nits Anti-glare",Stereo speakers,Dual Array Microphone,"11ac, 2x2",5,1.7,No,"Non-backlit, English",No,No,720p with Privacy Shutter,Touchpad,Upto 8 Hours,N/A,N/A
209,Lenovo,IdeaPad,15IML05,15IML05,Platinum Grey,18223.42,Thin and Light Laptop,Processing & Multitasking,45W Round Tip,Intel,Core i5,10210U,4.2,6,512,0,8,DDR4,12,2,2666,Intel,UHD,2,Windows 11 Home,Yes,"1x USB 2.0, 2x USB 3.2 Gen 1",1x HDMI 1.4b,No,15.6,1920x1080,"FHD,IPS 250nits Anti-glare",Stereo speakers,Dual Array Microphone,"11ac, 2x2",5,1.7,No,"Non-backlit, English",No,No,720p with Privacy Shutter,Touchpad,Upto 11.5 hours,N/A,N/A
210,Lenovo,IdeaPad,14ITL6,14ITL6,Arctic Grey,20288.92,Thin and Light Laptop,Processing & Multitasking,65W Round Tip,Intel,Core i5,1135G7,4.2,8,512,0,8,DDR4,N/A,2,3200,Intel,Iris Xe,3,Windows 11 Home,Yes,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1 (support data transfer only)",1x HDMI 1.4b,No,14,1920x1080,"FHD, IPS (300nits Anti-glare, 45% NTSC)",Stereo speakers,N/A,"11ac, 2x2",5,Dual Array Microphone ,No,"Backlit, English",Yes,No,720p with Privacy Shutter,Touchpad,Upto 7.5 hours,N/A,N/A
211,ASUS,Vivobook Ultra K14,Vivobook Ultra,K14,Transparent Silver,17702.57,Thin and Light Laptop,"Travel & Business, Processing & Multitasking, Performance, Everyday Use, Entertainment",N/A,Intel,Core i3,1125G4,"2.0 GHz (8M Cache, up to 3.7 GHz, 4 cores)",8  Intel Sart Cache,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",1x HDMI,No,14.1,1920x1080,"14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, 250nits, 45% NTSC color gamut, Anti-glare display, Screen-to-body ratio: 84 ?",Audio by ICEpower® Built-in speaker Built-in microphone harman/kardon (Mainstream) with Cortana support,Yes,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,5,1.4,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD,Multigesture Touchpad,Upto 6 Hrs.,N/A,N/A
212,ASUS,Vivobook 15,Vivobook 15,X515MA-BR001WX515MA,Transparent Silver,11256.59,Laptop,Everyday Use,"33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal",Intel,Celeron,N4020,"Intel® Celeron® N4020 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",4,0,1000,4,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",1x HDMI,No,15.6,1366x768,"15.6-inch, HD (1366 x 768) 16:9 aspect ratio,200nits, 45% NTSC color gamut, Anti-glare display, Screen-to-body ratio: 83 ?",SonicMaster Audio by ICEpower® Built-in speaker Built-in microphone with Cortana support,Yes,Wi-Fi 5(802.11ac),4.1,1.8,Yes,Chiclet Keyboard with Num-key,No,No,VGA,Multigesture Touchpad,Upto 6 Hrs.,N/A,N/A
213,Lenovo,Ideapad 5,IdeaPad 5 Pro 14ACN6,IdeaPad 5 Pro 14ACN6,Storm Grey,29045.9,Thin and Light Laptop,Processing & Multitasking,65 W USB-C (3-pin),AMD,Ryzen 7,5800U,Base 1.9 GHz with Max Frequency Upto 4.4 GHz,20,1000,0,16,DDR4,N/A,N/A,N/A,AMD,Radeon Graphics,3,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 1 (Support Data Transfer, Power Delivery 3.0 and DisplayPort 1.4)",1 x HDMI 1.4b,No,14,2240x1400,"2.2K (OLED), IPS, 300 nits Brightness, Anti-glare, 60 Hz Refresh Rate, 100% sRGB",Built-in Dual Stereo Speakers,Built-in Dual Array Microphone,"11ac, 2x2",5.1,1.38,No,"Backlit, English",Yes,No,IR & 720p + ToF Sensor,Touchpad,Upto 15 Hours,N/A,N/A
214,Lenovo,IdeaPad 5 14ITL05,IdeaPad 5,14ITL05,Graphite Grey,23873.6,Laptop,"Performance, Entertainment, Everyday Use, Processing & Multitasking, Travel & Business",N/A,Intel,Core i5,1135G7,4.2 GHz,8,512,0,8,DDR4,NA,1,3200,Intel,Iris Xe,3,Windows 10 Home,N/A,"1x USB 3.2 Gen 1, 1x USB 3.2 Gen 1 (Always On), 1x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4), 1x HDMI 1.4b, 1x Card reader, 1x Headphone / microphone combo jack (3.5)",1,No,14,1920x1080,"14"" FHD (1920x1080) IPS 300nits Anti-glare, 45% NTSC","Stereo speakers, 2W x2, Dolby Audio",N/A,N/A,Yes,N/A,Yes,"Backlit, English",Yes,No,720p with Privacy Shutter,Touchpad,11 hours,N/A,N/A
215,MSI,Katana GF66,Katana GF66 11UC,Katana GF66 11UC-478IN,Black,29838.52,Gaming Laptop,"Processing & Multitasking, Gaming",150 W AC Adapter,Intel,Core i5,11400H,2.7 Ghz to 4.50 GHz,N/A,512,0,8,DDR4,32,2 Slots,3200,NVIDIA,RTX 3050,5.4,Windows 10 Home,Yes,"1 x Type-C USB3.2 Gen.1, 2 x Type-A USB3.2 Gen.1, 1 x Type-A USB2.0, 1 x RJ45",1 x HDMI 2.0,No,15.6,1920x1080,Full HD IPS Display (45% NTSC Color Gamut),2 x 2 W Speakers,Yes,Intel Wi-Fi 6 AX201(2x2 ax),5.1,2.25,No,Single Backlit Keyboard (Red),Yes,Yes,HD type (30fps at 720p) Webcam,Touchpad,3-4 Hrs,Yes,144 Hz
216,MSI,Modern 14,Modern 14,Modern 14 B5M,Carbon Gray,19891.02,Thin and Light Laptop,"Processing & Multitasking, Travel & Business",65W adapter,AMD,Ryzen 5,55500U,2.1 GHz up to 4.0 GHz,8,256,0,8,DDR4,N/A,N/A,N/A,AMD,Radeon Graphics,3,Windows 10 Home,Yes,"1 x Type-C USB3.2 Gen2, 2 x Type-A USB3.2 Gen1",1 x HDMI,No,14,1920x1080,"14 Inch Full HD, 60Hz 45%NTSC IPS-Level",Built-in Dual Speakers,Built-in microphone,Intel Wi-Fi 6 AX201(2*2 ax),BT5.1,1.3,No,"Backlight Keyboard (Single-Color, White)",Yes,No,HD type (30fps@720p),Touchpad,Upto 10 Hrs,N/A,60 Hz
217,HP,N/A,15s-fq2626TU,15s-fq2626TU,Jet Black,15915.6,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",N/A,Intel,Core i3,1125G4,1.7 GHz upto max turbo frequency at 3.7 Ghz,8,256,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4b,No,15.6,1920x1080,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,4.2,1.69,No,"Full-size, Jet Black Keyboard with Numeric Keypad",No,No,HP True Vision 720p HD camera,Touchpad,N/A,N/A,N/A
218,DELL,N/A,G15-5515,G15-5515,Phantom Grey with speckles,45754.52,Gaming Laptop,Gaming,N/A,AMD,Ryzen 7,5800H,3.2 GHz upto max turbo frequency at 4.4 Ghz,16,512,0,16,DDR4,16,2,3200,NVIDIA,RTX 3060,6,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Port , 2 x USB 2.0 Ports",1x HDMI 2.0 port,No,15.6,1920x1080,Full HD WVA AG 300 nits 165Hz Narrow Border,Yes,Yes,Intel Wi-Fi 6 2x2 (Gig+),5,2.57,No,English International Backlit Keyboard Orange,Yes,Yes,HD,Touchpad,Upto 10 Hours,Yes,165 Hz
219,DELL,N/A,G15-5511,G15-5511,Dark Shadow Grey,34215.42,Gaming Laptop,Gaming,N/A,Intel,Core i5,11400H,2.7 GHz upto max turbo frequency at 4.5 Ghz,12,512,0,16,DDR4,16,2,2933,NVIDIA,RTX 3050 Ti,5.7,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Port , 2 x USB 2.0 Ports",1x HDMI 2.0 port,No,15.6,1920x1080,Full HD WVA AG 250 nits 120Hz Narrow Border,Yes,Yes,Intel Wi-Fi 6 2x2 (Gig+),5,2.65,No,English International Backlit Keyboard Orange,Yes,Yes,HD,Touchpad,Upto 10 Hours,Yes,120 Hz
220,DELL,N/A,G15-5511,G15-5511,Dark Shadow Grey,39786.02,Gaming Laptop,Gaming,N/A,Intel,Core i7,11800H,2.3 GHz upto max turbo frequency at 4.6 Ghz,24,512,0,16,DDR4,16,2,2933,NVIDIA,RTX 3050 Ti,5.7,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Port , 2 x USB 2.0 Ports",1x HDMI 2.0 port,No,15.6,1920x1080,Full HD WVA AG 250 nits 120Hz Narrow Border,Yes,Yes,Intel Wi-Fi 6 2x2 (Gig+),5,2.65,No,English International Backlit Keyboard Orange,Yes,Yes,HD,Touchpad,Upto 10 Hours,Yes,N/A
221,MSI,Katana GF66,GF66-11UD,GF66 11UD- 476IN,Black,37796.52,Gaming Laptop,"Processing & Multitasking, Gaming",150 W AC Adapter,Intel,Core i7,11800H,4.60 GHz with Max Turbo Frequency,N/A,512,0,16,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3050 Ti,5.7,Windows 10 Home,Yes,"1 x Type-C USB3.2 Gen.1, 2 x Type-A USB3.2 Gen.1, 1 x Type-A USB2.0, 1 x RJ45",1 x HDMI 2.0,No,15.6,1920x1080,Full HD IPS Display (45% NTSC Color Gamut),2 x 2 W Speakers,Yes,Intel Wi-Fi 6 AX201(2x2 ax),5.1,2.25,No,Single Backlit Keyboard (Red),Yes,Yes,HD type (30fps at 720p) Webcam,Touchpad,3-4 Hrs,Yes,144 Hz
222,DELL,N/A,G15-5511,G15-5511,Dark Shadow Grey,39786.02,Gaming Laptop,Gaming,N/A,Intel,Core i7,11800H,1.9 GHz to max turbo frequency at 4.6 Ghz,24,512,0,16,DDR4,16,2,2933,NVIDIA,RTX 3050 Ti,5.7,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 port , 2 x USB 2.0 ports",1 x HDMI 2.0,No,15.6,1920x1080,Full HD WVA AG 250 nits 120Hz Narrow Border,Yes,Yes,Intel Wi-Fi 6 2x2 (Gig+),5,2.4,No,English International Backlit Keyboard Orange,Yes,Yes,HD,Touchpad,Upto 10 Hours,Yes,N/A
223,MSI,Modern 15,Modern 15 A5M,Modern 15 A5M,Carbon Gray,27849.02,Thin and Light Laptop,Processing & Multitasking,65W adapter,AMD,Ryzen 7,75700U,1.8GHz Max. Boost Clock Up to 4.3GHz,N/A,512,0,8,DDR4,N/A,N/A,N/A,AMD,Radeon Graphics,3,Windows 11 Home,N/A,1 x Type-C USB3.2 Gen2 3 x Type-A USB3.2 Gen2,1 x HDMI,No,15.6,1920x1080,"15.6"" FHD (1920x1080), IPS-Level",Built-in Dual Speakers,N/A,Intel Wi-Fi 6 AX200(2x2 ax),5.1,1.6,No,"Backlight Keyboard (Single-Color, White)",Yes,No,HD type (30fps@720p),Touchpad,5-6 Hrs,N/A,60 Hz
224,HP,15s,FR2508TU,FR2508TU,Silver,16906.77,Thin and Light Laptop,Everyday Use,N/A,Intel,Core i3,N/A,N/A,N/A,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,5,N/A,No,N/A,N/A,No,No,Touchpad,6Hrs,N/A,60 Hz
225,HP,N/A,15s-fq4022TU,15s-fq4022TU,Jet Black,21880.52,Thin and Light Laptop,Processing & Multitasking,N/A,Intel,Core i5,1155G7,4.5,8,512,0,8,DDR4,16,N/A,3200,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,No,15.6,1920x1080,"FHD, micro-edge, anti-glare (Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC)",Dual Speakers,Integrated dual array digital microphones,MediaTek Wi-Fi CERTIFIED 6 MT7921 (2x2),5.2,1.69,No,"Full-size, Jet Black keyboard with numeric keypad",No,No,HP True Vision 720p HD camera,HP Imagepad with multi-touch gesture support,N/A,N/A,N/A
226,HP,N/A,FQ4022TU,FQ4022TU,Black,23074.22,Thin and Light Laptop,Performance,N/A,Intel,Core i5,N/A,N/A,N/A,512,0,8,DDR4,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,5,N/A,No,N/A,N/A,No,No,Touchpad,7HRS,N/A,N/A
227,acer,Aspire 5,Aspire 5,A515-56,Pure Silver,19891.02,Notebook,Processing & Multitasking,45 W AC Adapter,Intel,Core i5,1135G7,4.2,8,0,1000,8,DDR4,20,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB 3.2 port with power-off charging, 2 x USB 3.2 port, 1 x USB Type-C port",1 x HDMI Port,No,15.6,1920x1080,"Full HD, high-brightness Acer ComfyView LED-backlit TFT LCD",Built-in Dual Speakers,Built in dual microphone,802.11a/b/g/n/acR2 + ax wireless LAN,5.1,1.65,No,100-/101-/104-key FineTip keyboard with independent numeric keypad,No,Gigabit Ethernet,720p HD Webcam,Touchpad with Multi-touch Gesture Support,Upto 9.5 hours,Yes,N/A
228,acer,Aspire 3,A315-23,A315-23,Pure Silver,14320.42,Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",45 W AC Adapter,AMD,Ryzen 3,3250U,"Base Frequency 2.60 GHz, Max Turbo Boost Frequency Up to 3.5 GHz",8,512,0,8,DDR4,N/A,N/A,N/A,AMD,Radeon Graphics,3,Windows 11 Home,Yes,"2 x USB 3.2 Gen 1ports, 1 x USB 2.0 port",1 x HDMI Port,No,15.6,1920x1080,Full HD high-brightness Acer ComfyView LED-backlit TFT LCD,Built-in dual stereo speakers,Built-in Dual Microphone,802.11a/b/g/n/ac wireless LAN,4.2,1.9,No,"100-/101-/104-key FineTip keyboard with independent numeric keypad, international language support, and power button",No,"Gigabit Ethernet, Wake-on-LAN Ready",Yes,Touchpad,Upto 11 hours,Yes,N/A
229,HP,N/A,15s FR2508TU,15s-FR2508TU,Natural Silver,16906.77,Laptop,Processing & Multitasking,N/A,Intel,Core i3,1125G4,3.7,8,512,0,8,DDR4,16,N/A,2666,Intel,UHD,2,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,No,15.6,1920x1080,"FHD, micro-edge, anti-glare (Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC)",Dual Speakers,N/A,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,5,1.69,No,"Full-size, natural silver keyboard with numeric keypad",N/A,No,HP True Vision 720p HD camera,HP Imagepad with multi-touch gesture support,N/A,N/A,N/A
230,acer,Aspire 3,Aspire 3,A315-23,Pure Silver,13528.2,Notebook,Processing & Multitasking,45 W AC Adapter,AMD,Ryzen 3,33250U,3.5,N/A,512,0,4,DDR4,8,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"2 x USB 3.2 Gen 1 ports, 1 x USB 2.0 port",1 x HDMI Port,No,15.6,1920x1080,"Full HD, high-brightness Acer ComfyView LED-backlit TFT LCD",Two built-in stereo speakers,Built-in Dual Microphone,802.11a/b/g/n/ac wireless LAN,4.2,1.9,No,"100-/101-/104-key FineTip keyboard with independent numeric keypad, international language support, and power button",No,Gigabit Ethernet,Acer webcam with 640 x 480 resolution,Touchpad with Multi-touch Gesture Support,Upto 11 hours,Yes,N/A
231,ASUS,VivoBook Ultra 14 (2022),X413EA-EB321WS,X413EA-EB321WS,Cobalt Blue,17105.72,Thin and Light Laptop,Processing & Multitasking,65W AC Adapter,Intel,Core i3,1115G4,"3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",6,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1x HDMI 1.4 port,No,14,1920x1080,"Full HD (IPS-level Panel, 250nits, 45% NTSC color gamut, non-OLED, Anti-glare display)",Built-in Speakers,Built-in Microphone,Wi-Fi 6(802.11ax) 2x2,5,1.4,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD camera,Touchpad,N/A,N/A,N/A
232,ASUS,N/A,UX363EA-HP562WS,UX363EA-HP562WS,Pine Grey,35011.22,Thin and Light Laptop,Processing & Multitasking,65W AC Adapter,Intel,Core i5,1135G7,4.2,8,512,0,16,LPDDR4X,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 supports display, power delivery",1x HDMI 1.4,Yes,13.3,1920x1080,"FHD, OLED (550 nits peak brightness, 100% DCI-P3 color gamut)",N/A,Built-in array microphone,Wi-Fi 6(802.11ax),5,1.3,No,Backlit Chiclet Keyboard,Yes,No,HD camera,Touchpad,N/A,N/A,N/A
233,Lenovo,N/A,Ideapad Slim I3,Ideapad 3 15IML05,Platinum Grey,15514.12,Laptop,Everyday Use,N/A,Intel,Core i3,N/A,N/A,N/A,0,1000,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,5,N/A,No,N/A,N/A,No,No,Touchpad,Upto 7.5 Hours,N/A,N/A
234,ASUS,Zenbook 14 Flip,UN5401QA-KN511WS,UN5401QA-KN511WS,Jade Black,36567.01,Thin and Light Laptop,Processing & Multitasking,100W AC Adapter,AMD,Ryzen 5,5600H,4.2,19,512,0,16,LPDDR4X,N/A,N/A,N/A,AMD,Radeon Graphics,3,Windows 11 Home,Yes,"1x USB 3.2 Gen 2 Type-A, 2x USB 3.2 Gen 2 Type-C support display / power delivery",1x HDMI 2.0b,Yes,14,2880x1800,"OLED, (550nits peak brightness, 100% DCI-P3 color gamut)",Built-in speaker,Built-in array microphone,Wi-Fi 6(802.11ax),5,1.4,No,Backlit Chiclet Keyboard,Yes,No,720p HD camera,Touchpad,N/A,N/A,N/A
235,ASUS,VivoBook Ultra 14 (2021),X413EA-EB323WS,X413EA-EB323WS,Dreamy White,17105.72,Thin and Light Laptop,Processing & Multitasking,65W AC Adapter,Intel,Core i3,1115G4,"3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",6,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1x HDMI 1.4 port,No,14,1920x1080,"Full HD (IPS-level Panel, 250nits, 45% NTSC color gamut, non-OLED, Anti-glare display)",Built-in Speakers,Built-in Microphone,Wi-Fi 6(802.11ax) 2x2,5,1.4,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD camera,Touchpad,N/A,N/A,N/A
236,ASUS,ASUS Vivobook 13 Slate OLED,T3300KA-LQ122WS,T3300KA-LQ122WS,Black,17105.72,2 in 1 Laptop,Processing & Multitasking,65W AC Adapter,Intel,Pentium,N6000,1.1 GHz with Max Turbo Boost Frequency Up to 3.3 GHz,4,0,0,4,LPDDR4X,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,2 x USB 3.2 Gen 2 Type-C support display,1 x HDMI 1.4,Yes,13.3,1920x1080,"Full HD OLED (0.2ms response time, 550nits peak brightness, 100% DCI-P3 color gamut)",Built-in 4-way stereo speakers,Built-in array microphone,Wi-Fi 6(802.11ax),5.2,0.78,No,"Detachable keyboard, 1.4  key travel, 19.05 full-size key pitch, 0.2  key-cap dish",No,No,5.0 Megapixel camera,Touchpad,N/A,N/A,N/A
237,ASUS,ASUS Vivobook 13 Slate OLED,T3300KA-LQ111WS,T3300KA-LQ111WS,Black,21880.52,2 in 1 Laptop,Processing & Multitasking,65W AC Adapter,Intel,Pentium,N6000,1.1 GHz with Max Turbo Boost Frequency Up to 3.3 GHz,4,256,0,8,LPDDR4X,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,2 x USB 3.2 Gen 2 Type-C support display,1 x HDMI 1.4,Yes,13.3,1920x1080,"Full HD OLED (0.2ms response time, 550nits peak brightness, 100% DCI-P3 color gamut)",Built-in 4-way stereo speakers,Built-in array microphone,Wi-Fi 6(802.11ax),5.2,0.78,Yes,"Detachable keyboard, 1.4  key travel, 19.05 full-size key pitch, 0.2  key-cap dish",No,No,5.0 Megapixel camera,Touchpad,N/A,N/A,N/A
238,ASUS,N/A,UX363EA-HP702WS,UX363EA-HP702WS,Pine Grey,41775.52,Thin and Light Laptop,Processing & Multitasking,65W AC Adapter,Intel,Core i7,1165G7,4.7,12,512,0,16,LPDDR4X,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1x USB 3.2 Gen 1 Type-A, 2x Thunderbolt 4 supports display, power delivery",1x HDMI 1.4,Yes,13.3,1920x1080,"FHD, OLED (550nits peak brightness, 100% DCI-P3 color gamut)",N/A,Built-in array microphone,Wi-Fi 6(802.11ax),5,1.3,No,Backlit Chiclet Keyboard,Yes,No,HD camera,Touchpad,N/A,N/A,N/A
239,ASUS,ZenBook Duo 14 (2021) Touch Panel,UX482EGR-KA711WS,UX482EGR-KA711WS,Celestial Blue,53712.52,Thin and Light Laptop,Processing & Multitasking,65 W AC Adapter,Intel,Core i7,1195G7,2.9 GHz upto max turbo frequency at 5 GHz,12,1000,0,16,LPDDR4X,N/A,N/A,N/A,NVIDIA,MX450,3.5,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 Supports Display / Power Delivery",1 x HDMI 1.4,Yes,14,1920x1080,"Full HD LED Backlit, IPS-level Panel, 400nits, 100% sRGB Color Gamut, PANTONE Validated, Anti-glare display",Built-in Speaker,Built-in array microphone,Wi-Fi 6(802.11ax),5.2,1.62,No,Backlit Chiclet Keyboard,Yes,No,HD camera with IR function,Touchpad,N/A,N/A,N/A
240,ASUS,ZenBook Duo 14 (2021) Touch Panel,UX482EA-KA501WS,UX482EA-KA501WS,Celestial Blue,39786.02,Thin and Light Laptop,Processing & Multitasking,65 W AC Adapter,Intel,Core i5,1135G7,"Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz",8,512,0,8,LPDDR4X,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 Supports Display / Power Delivery",1 x HDMI 1.4,Yes,14,1920x1080,"Full HD LED Backlit, IPS-level Panel, 400nits, 100% sRGB Color Gamut, PANTONE Validated, Anti-glare display",Built-in Speaker,Built-in array microphone,Wi-Fi 6(802.11ax),5.2,1.62,No,Backlit Chiclet Keyboard,Yes,No,HD camera with IR function,Touchpad,N/A,N/A,N/A
241,ASUS,VivoBook Ultra 14 (2022),X413EA-EB321WS,X413EA-EB321WS,Cobalt Blue,17105.72,Thin and Light Laptop,Processing & Multitasking,65W AC Adapter,Intel,Core i3,1115G4,"3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",6,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1x HDMI 1.4 port,No,14,1920x1080,"Full HD (IPS-level Panel, 250nits, 45% NTSC color gamut, non-OLED, Anti-glare display)",Built-in Speakers,Built-in Microphone,Wi-Fi 6(802.11ax) 2x2,5,1.4,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD camera,Touchpad,N/A,N/A,N/A
